Number Order Height Address Amount(Meer) ComProfit(Meer)
2808 706789 630022 MmirLJXnA5nA8Eih6nQntcm88xCgWDux78w 2000.00000000 281.46874355
2809 706933 630141 MmRdV7ikUvP2hJQicvaG5jFgFMDv2PbCVer 800.00000000 112.58749742
2810 707158 630350 MmSXTLNDuyNULDhhzb3JoxgJMjDtGSfGjER 4000.00000000 562.93748711
2811 707189 630378 MmZAuxsoFaA42FRXx3kdJ8FqsjKTUhHGJji 366.00000000 51.50878007
2812 707254 630433 MmbJFjKtJWEL4MiGs5qAokSuvqbzt3LxbZF 1000.00000000 140.73437177
2813 707596 630760 MmiJzXoLvoBZiiwMtWLbN2grHRZykRWyzNq 2871.90000000 404.17504231
2814 708194 631353 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 137.00000000 19.28060893
2815 708532 631685 MmR7STCsZ7v5J4CWPieyP72fdB1vHqQCnHj 260.00000000 36.59093666
2816 709202 632257 Mmat2NasvYRJTEVuC87CTfU6JKgLufLvLHX 185.00000000 26.03585877
2817 709502 632492 MmbqCrqt2kZCM3j1ax1Fp15N6sH7HbG3Dtj 50.00000000 7.03671858
2818 709838 632723 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 48.50000000 6.82561703
2819 710449 633213 Mmd7oTYu6Hw1DUMiiHWYvt2uS33h7XSjQwc 355.00000000 49.96070198
2820 710807 633550 MmeAb38feDmcsVYqTSAHujxdh1Rw4jzZZzV 500.00000000 70.36718588
2821 711801 634542 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 42.00000000 5.91084361
2822 711921 634659 Mmgysbae5q8DMRC5sWFpR7bX8QuVaYgYqfY 40.00000000 5.62937487
2823 712092 634820 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 50.00000000 7.03671858
2824 712492 635150 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 415.00000000 58.40476428
2825 713001 635608 MmfJNMM53dsoKBwJvgCQGpmnB3vmXDCSY2G 100.00000000 14.07343717
2826 713059 635664 MmiAZpXeVFKjnYMd9EUoah5vbrrCgSF4WZ5 2000.00000000 281.46874355
2827 713259 635857 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 45.00000000 6.33304673
2828 713355 635942 MmQVuM4RhyPJySp7VuQDNvKUnf8SVypa8pQ 583.10000000 82.06221218
2829 713603 636187 MmTPnuL6DVQqPLnpjsBMvBkDPvqxByHaUdL 2200.00000000 309.61561791
2830 713639 636215 Mmgeu6XBPtyK5quKmqNij3Uytxpicx4Lerx 554.00000000 77.96684196
2831 715044 637577 MmLephTaokmymR9ug7eH5JohRdNw4uXiie6 2000.00000000 281.46874355
2832 715361 637833 MmTwoMHjn9jWFfMsaBvifebg9nqQuVMuvYu 160.00000000 22.51749948
2833 715801 638195 MmdR9o4oJFjYameUdpPAozzKDsxdrXMd5Rv 17183.00000000 2418.23871028
2834 715813 638207 Mmd66KYj7PgEvjwtySSNPP8ku9eTWy6RoPw 200.00000000 28.14687435
2835 715948 638313 MmRM4HV7enwP695pwXL3p7fxb4p428RJHeQ 5181.00000000 729.14478019
2836 716034 638383 MmRrs85KK9bUXHJuc31MgWpVDLiQuYgYvgt 192.00000000 27.02099938
2837 716039 638387 MmTtM5vfRHFVP5VwVNedxxurnL3wh4f1Aqc 77.00000000 10.83654662
2838 716790 639019 MmUS8Puoq3a1wwd7k1A8kFFp5iMWsFfsDWf 3388.00000000 476.80805158
2839 716860 639071 Mmgysbae5q8DMRC5sWFpR7bX8QuVaYgYqfY 20.00000000 2.81468743
2840 716950 639146 MmaktFeNC9wybbwHo3HN8UkZ7RbkytUgzhU 350.00000000 49.25703012
2841 717109 639279 MmfSJEAoDbjFzvSZoVVEuCtTCiuxm6QBCeR 1200.00000000 168.88124613
2842 717116 639285 MmSMYwC86eFmQ6DcEimkxUVuf55rntAqXqY 1200.00000000 168.88124613
2843 717165 639330 MmPQcQDjt9QischqBSDog3jg9zwRTNDaTgs 1000.00000000 140.73437177
2844 717445 639603 MmYE8CXJuqYuL2yzwxLC1VXTU577jwxwZZw 30000.00000000 4222.03115338
2845 717461 639615 MmYE8CXJuqYuL2yzwxLC1VXTU577jwxwZZw 10445.50000000 1470.04088042
2846 718053 640191 MmhbU4qoj3tabg7XkENevyrFxqCmZPLF9Cc 50.00000000 7.03671858
2847 718349 640479 MmRC3szH2gsZATebpiw9TVPuoWMMJFG3UKh 1000.00000000 140.73437177
2848 719042 641049 MmhKTqPpvnUZAXVh9W5uUTeSFmCdvKC2T2f 500.00000000 70.36718588
2849 719079 641078 MmYE8CXJuqYuL2yzwxLC1VXTU577jwxwZZw 15000.00000000 2111.01557669
2850 719111 641105 MmQVLZ3US2U1EvN2nqfUbfcLpXss35YBcyC 1000.00000000 140.73437177
2851 719243 641213 MmLixvJUufpqjNtMCoEfo2pe2R1r7Pz1inA 500.00000000 70.36718588
2852 719321 641282 MmYu2A4otC1HGuLSWNTLJ4vetsJqK6toNUa 2784.00000000 391.80449103
2853 719356 641313 MmdR9o4oJFjYameUdpPAozzKDsxdrXMd5Rv 8385.24000000 1180.09148362
2854 719359 641314 MmbKdHQ2jL3d3RAQJizq647g9rw2tg2PB1A 2705.00000000 380.68647566
2855 719383 641336 MmbKdHQ2jL3d3RAQJizq647g9rw2tg2PB1A 1954.00000000 274.99496245
2856 719414 641363 MmQeu2Qij8j37gu3qN21hxgG1k1p4XNFBEe 1000.00000000 140.73437177
2857 719447 641392 MmTtM5vfRHFVP5VwVNedxxurnL3wh4f1Aqc 118.00000000 16.60665586
2858 720144 642041 MmPwQTvvZd9PYVCowuCB13ZGCTFAKRdnKys 5000.00000000 703.67185889
2859 720159 642049 MmPwQTvvZd9PYVCowuCB13ZGCTFAKRdnKys 2000.00000000 281.46874355
2860 720243 642113 Mmg3vCNmKHxV54bodT7QVvNeyqR5pSp7vFU 2144.00000000 301.73449309
2861 720591 642401 MmcfZzLKb3E8HnbmSfuBEZUF2YMmxHTBYkZ 3213.00000000 452.17953652
2862 720696 642503 MmPzGAaXC2dHHLGmqyEPuEnzUx1xiLg29GF 112.00000000 15.76224963
2863 721497 643287 MmMXzocAMdDvhJXwuYrbhnyyu6Lsaxt1mrV 1000.00000000 140.73437177
2864 721831 643564 Mme5ZnNHzE9GVji2td6Y5x5exPkVDHLYb2Q 1000.00000000 140.73437177
2865 721983 643685 MmNviYQthctB9tmME78AW2nprJCCpqTptw7 33.00000000 4.64423426
2866 722077 643762 MmhcN3xqHS6xoPazjtqpZp3sLjGgg7yx5Tc 1000.99900000 140.87496541
2867 722575 644169 Mmi5A1tPpuBWxNPsQybFGH1cg4ky82oCgsZ 1000.00000000 140.73437177
2868 722582 644176 MmYnzST8cNgHZTu7b4pXn5GpDq4VDYVh9R3 10000.00000000 1407.34371779
2869 722850 644396 MmfjZzMqKdAGtcb9Jze9pVrfcmBApUpurUx 700.00000000 98.51406024
2870 722933 644474 MmbqCrqt2kZCM3j1ax1Fp15N6sH7HbG3Dtj 50.00000000 7.03671858
2871 722950 644490 MmSeJBhxxUcE85LDWt79QCVu5FNM8Y1bnjP 500.00000000 70.36718588
2872 723595 645087 MmcDdfEFiXJGLxyRR4xxTR49gfq3R7ed7jA 3000.00000000 422.20311533
2873 725063 646468 MmThsk1k1U923qTEFiBKBoeSENWJumnSBQf 2844.00000000 400.24855334
2874 725111 646503 Mmi5A1tPpuBWxNPsQybFGH1cg4ky82oCgsZ 600.00000000 84.44062306
2875 725241 646608 Mmg7FU5sotfVmjiabudXQGR5mkm5AeLsrhS 10000.00000000 1407.34371779
2876 725572 646868 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 49.00000000 6.89598421
2877 725691 646954 MmcZJWiPhNwBKDW6WkrRyurshio42Lnhpdf 6000.00000000 844.40623067
2878 725861 647096 MmZp8HLXkzYpzV3NkmjSTVPfngDS2MXCS23 1934.00000000 272.18027502
2879 725880 647110 MmRrs85KK9bUXHJuc31MgWpVDLiQuYgYvgt 295.00000000 41.51663967
2880 726047 647244 MmQ1ZqnffEUTtg4STmfByewrLZKprFZxJgR 1000.00000000 140.73437177
2881 726119 647303 MmLYAuZ5UgYrzYJLorb7UkHC2KA2R3cc7YW 10000.00000000 1407.34371779
2882 726146 647327 MmaotpJRpZ8FMWHmb6xJY68JEntSVrR4LEE 10000.00000000 1407.34371779
2883 726162 647342 MmhigsmvJwyYyUZK1Geea9wnJeTs5TEe8FY 10000.00000000 1407.34371779
2884 726185 647360 MmKxmfnSCGvU1J5bVKtTKgLac3GMHEgM9dM 10000.00000000 1407.34371779
2885 726712 647873 MmQ1ZqnffEUTtg4STmfByewrLZKprFZxJgR 6660.00000000 937.29091605
2886 726716 647875 MmT1amMrhyiCxB6kLYdAaY1BG4YiibzRCnC 6105.00000000 859.18333971
2887 726719 647878 MmRADFuFtL9oGty49b4GopUqri18az7KJ1k 1000.00000000 140.73437177
2888 726774 647926 MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 91.00000000 12.80682783
2889 728000 649086 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 44.00000000 6.19231235
2890 728255 649294 MmQ1ZqnffEUTtg4STmfByewrLZKprFZxJgR 2350.00000000 330.72577368
2891 728449 649455 MmiJzXoLvoBZiiwMtWLbN2grHRZykRWyzNq 10000.00000000 1407.34371779
2892 728909 649836 MmffLLdETmskgEqGnMoLT9vSkLXXUiKNsNC 1000.00000000 140.73437177
2893 730733 651607 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 100.00000000 14.07343717
2894 731424 652224 MmMXzocAMdDvhJXwuYrbhnyyu6Lsaxt1mrV 2000.00000000 281.46874355
2895 731466 652259 MmLaZiwRNbu5SfXYgmHDCJ8SJ8pGPxRMMQY 2000.00000000 281.46874355
2896 731466 652259 MmcVXrxV7KV8tWnG3FX7MURXbZdeHutnsR8 2000.00000000 281.46874355
2897 731475 652264 MmLaZiwRNbu5SfXYgmHDCJ8SJ8pGPxRMMQY 500.00000000 70.36718588
2898 731674 652444 MmcZJWiPhNwBKDW6WkrRyurshio42Lnhpdf 5676.00000000 798.80829422
2899 731786 652530 MmT1amMrhyiCxB6kLYdAaY1BG4YiibzRCnC 3895.00000000 548.16037808
2900 732331 653046 MmbBhxR9DNsTAxSb9fkeza31LSpVt6p8kba 20000.00000000 2814.68743559
2901 732504 653208 MmQk7rJH19WMZwzAm3UFS8721RgHcnD5q15 2400.00000000 337.76249227
2902 733000 653668 Mma9ezvbzSYNLEXPasWokx1GaoDtUNe1682 69.00000000 9.71067165
2903 733096 653759 MmPVnee3txzJ4sjoJGv7JMpbYyoUsMi91zz 270.00000000 37.99828038
2904 733197 653850 Mmcs7fPJG66te7uaFByCLRhqxf1eYAeuxQQ 2705.00000000 380.68647566
2905 734421 655054 MmQJGuWyE7crpbTByNcNTuMXZhvcFfHBxXH 1993.00000000 280.48360295
2906 734838 655454 MmX189QMgdNy1oH4dQnECWQx8y8jjyT6Riq 24000.00000000 3377.62492271
